curve_type,curve_id,observation_date,currency_id,interp_type,extrap_type,day_count_conv,compounding_freq,maturity_days,yield,maturity_years,yield_bps
Yield,JPY_Parent,02/01/2024,JPY,cubic,near,ACT360,DAILY,91.0,365.0,0.2493150684931507,3650000.0
Yield,JPY_Parent,02/01/2024,JPY,cubic,near,ACT360,DAILY,182.0,730.0,0.4986301369863014,7300000.0
Yield,USD_3M,02/01/2024,USD,log-lin,near,THIRTY360,CONTINUOUS,30.0,91.0,0.0821917808219178,910000.0
Yield,USD_3M,02/01/2024,USD,log-lin,near,THIRTY360,CONTINUOUS,60.0,182.0,0.1643835616438356,1820000.0
Yield,GBP_3M,02/01/2013,GBP,log-lin,round,ACT365FIXED,ANNUAL,1.0,0.05253668,0.0027397260273972603,525.3668
Yield,GBP_3M,02/01/2013,GBP,log-lin,round,ACT365FIXED,ANNUAL,30.0,0.04709004,0.0821917808219178,470.9004
Yield,EUR_SWAP,15/06/2024,EUR,log-lin,flat,ACT360,SEMIANNUAL,7.0,91.0,0.019178082191780823,910000.0
Yield,EUR_SWAP,15/06/2024,EUR,log-lin,flat,ACT360,SEMIANNUAL,30.0,182.0,0.0821917808219178,1820000.0
Yield,USD_INVERT,15/03/2024,USD,lin,near,THIRTY360,QUARTERLY,91.0,365.0,0.2493150684931507,3650000.0
Yield,USD_INVERT,15/03/2024,USD,lin,near,THIRTY360,QUARTERLY,182.0,730.0,0.4986301369863014,7300000.0
